id,name,start,end,reason
260,Praha hl.n. - Kolín,20110326103000,20110326160000,následky srážky vlaku s osobou
260,Č.Třebová - Brno hl.n.,20110328093500,20110328122000,následky srážky vlaku s osobou
250,Č.Třebová - Brno hl.n.,20110328093500,20110328122000,následky srážky vlaku s osobou
11,Č.Třebová - Brno hl.n.,20110328093500,20110328122000,následky srážky vlaku s osobou
10,Č.Třebová - Brno hl.n.,20110328093500,20110328122000,následky srážky vlaku s osobou
210,Praha-Zbraslav - Pha-Modřany zast.,20110329222300,20110330013000,následky srážky vlaku s osobou
200,Čimelice - Čimelice,20110331101100,20110331140000,následky srážky vlaku s osobou
292,Postřelmov - Postřelmov,20110331094500,20110331114500,následky srážky vlaku s osobou
30,Liberec - Liberec,20110401051500,20110401073000,následky srážky vlaku s osobou
86,Liberec - Liberec,20110401051500,20110401073000,následky srážky vlaku s osobou
36,Liberec - Liberec,20110401051500,20110401073000,následky srážky vlaku s osobou
238,Pardubice-Ros.n.L. - Medlešice,20110402055200,20110402090000,následky srážky vlaku s osobou
220,Č.Budějovice - Veselí n.Luž.,20110402063000,20110402093000,následky srážky vlaku s osobou
184,Poběžovice - Hostouň,20110402071400,20110402111400,následky srážky vlaku s osobou
330,Otrokovice - Tlumačov,20110402160000,20110402193000,následky srážky vlaku s osobou
93,Brandýsek - Kladno-Dubí,20110402210000,20110402235900,následky srážky vlaku s osobou
11,Praha-Libeň - Praha-Běchovice,20110405154800,20110405183000,následky srážky vlaku s osobou
323,Baška - Frýdlant n.Ostr.,20110407054500,20110407090000,následky srážky vlaku s osobou
190,Nepomuk - Ždírec u Plzně,20110410075000,20110410103000,následky srážky vlaku s osobou
301,Vrbátky - Prostějov hl.n.,20110410113000,20110410140000,následky srážky vlaku s osobou
260,Svitavy - Březová n.Svit.,20110410174500,20110410203000,následky srážky vlaku s osobou
201,Putim - Písek,20110417200000,20110417223000,následky srážky vlaku s osobou
200,Putim - Písek,20110417200000,20110417223000,následky srážky vlaku s osobou
320,Dětmarovice - Karviná hl.n.,20110418160000,20110418184000,následky srážky vlaku s osobou
321,Chotěbuz - Č.Těšín,20110418223700,20110419015900,následky srážky vlaku s osobou
320,Chotěbuz - Č.Těšín,20110418223700,20110419015900,následky srážky vlaku s osobou
270,Prosenice - Přerov,20110419195000,20110419215000,následky srážky vlaku s osobou
221,Praha-Hostivař - Praha-Uhříněves,20110420183000,20110420213000,následky srážky vlaku s osobou
80,Bakov n.Jiz. - Bělá p.Bezdězem,20110421143000,20110421163000,následky srážky vlaku s osobou
40,Lázně Bělohrad - N.Paka,20110421160000,20110421200000,následky srážky vlaku s osobou
260,Rájec-Jestřebí - Rájec-Jestřebí,20110421215500,20110422010000,následky srážky vlaku s osobou
280,Valašské Meziříčí - Valašské Meziříčí,20110422131300,20110422160000,následky srážky vlaku s osobou
0,,20110422140000,20110422170000,následky srážky vlaku s osobou
10,Pardubice hl.n. - Kostěnice,20110422140000,20110422170000,následky srážky vlaku s osobou
240,Brno-H.Heršpice - Troubsko,20110426155000,20110426183000,následky srážky vlaku s osobou
321,Havířov - Ostrava-Bartovice,20110427045000,20110427075000,následky srážky vlaku s osobou
321,Ostrava-Bartovice - Havířov,20110427045000,20110427070000,následky srážky vlaku s osobou
72,Liběchov - Mělník,20110427174000,20110427205000,následky srážky vlaku s osobou
36,Vesec u Liberce - Jablonec n.N.,20110428092400,20110428112400,následky srážky vlaku s osobou
321,Ostrava-Bartovice - Havířov,20110428145500,20110428173000,následky srážky vlaku s osobou
276,Suchdol n.O. - Odry,20110503065500,20110503091000,následky srážky vlaku s osobou
330,Otrokovice - Tlumačov,20110505115000,20110505150000,následky srážky vlaku s osobou
321,Havířov - Havířov,20110504080000,20110504110000,následky srážky vlaku s osobou
130,Chomutov - Třebušice,20110506045000,20110506065000,následky srážky vlaku s osobou
90,D.Beřkovice - Vraňany,20110506201000,20110506223000,následky srážky vlaku s osobou
301,Prostějov hl.n. - Nezamyslice,20110507213000,20110507233000,následky srážky vlaku s osobou
250,Modřice - Hrušovany u Brna,20110509064500,20110509094500,následky srážky vlaku s osobou
340,Nesovice - Nemotice,20110510073000,20110510103000,následky srážky vlaku s osobou
270,Suchdol n.O. - Polom,20110510193000,20110510213000,následky srážky vlaku s osobou
90,Ústí n.L.hl.n.sever - Prackovice n.L.,20110511181000,20110511202000,následky srážky vlaku s osobou
11,Velim - Kolín,20110513220500,20110514013000,následky srážky vlaku s osobou
24,Ústí n.Orl. - Lichkov,20110514092500,20110514120000,následky srážky vlaku s osobou
10,Ústí n.Orl. - Lichkov,20110514092500,20110514120000,následky srážky vlaku s osobou
90,Děčín hl.n. - Ústí n.L.hl.n.sever,20110518054500,20110518073000,následky srážky vlaku s osobou
10,Pardubice hl.n. - Kostěnice,20110525204400,20110525230000,následky srážky vlaku s osobou
170,Mar.Lázně - Lázně Kynžvart,20110527023000,20110527050000,následky srážky vlaku s osobou
271,Kostelec na H. - Prostějov hl.n.,20110527205500,20110527235900,následky srážky vlaku s osobou
330,Hodonín - Rohatec,20110528151100,20110528173000,následky srážky vlaku s osobou
183,Dobřany - Chlumčany u Dobřan,20110531172500,20110531190000,následky srážky vlaku s osobou
203,Strakonice - Blatná,20110601225000,20110602013000,následky srážky vlaku s osobou
331,Zlín stř. - Vizovice,20110602155000,20110602180000,následky srážky vlaku s osobou
90,Povrly - Ústí n.L.hl.n.sever,20110602183000,20110602210000,následky srážky vlaku s osobou
320,Třinec (Trzyniec) - Bystřice (Bystrzyca),20110602225500,20110603014500,následky srážky vlaku s osobou
122,Hostivice - Praha-Zličín,20110603041800,20110603073000,následky srážky vlaku s osobou
120,Hostivice - Praha-Zličín,20110603041800,20110603073000,následky srážky vlaku s osobou
93,Hostivice - Praha-Zličín,20110603041800,20110603073000,následky srážky vlaku s osobou
120,Kladno - Praha Masarykovo n.,20110603045300,20110603055300,následky srážky vlaku s osobou
122,Praha-Zličín - Hostivice,20110603045800,20110603060000,následky srážky vlaku s osobou
72,Všetaty - Mělník,20110604170000,20110604203000,následky srážky vlaku s osobou
91,Praha-Bubeneč - Pha-Holešov.zast.,20110607173500,20110607204500,následky srážky vlaku s osobou
91,Praha-Bubeneč - Pha-Holešov.zast.,20110607173500,20110607204500,následky srážky vlaku s osobou
210,Skochovice - Davle,20110608131000,20110608154000,následky srážky vlaku s osobou
190,Nepomuk - Ždírec u Plzně,20110610041700,20110610093000,následky srážky vlaku s osobou
190,Ždírec u Plzně - Nepomuk,20110610050200,20110610080200,následky srážky vlaku s osobou
280,Hustopeče n.Beč. - Lhotka n.Beč.,20110611003000,20110611043000,následky srážky vlaku s osobou
162,Zavidov - Lubná,20110611104500,20110611150000,následky srážky vlaku s osobou
31,Hradec Králové hl.n. - Předměřice n.L.,20110612060000,20110612091500,následky srážky vlaku s osobou
140,Karlovy Vary - Karlovy Vary,20110612130500,20110612150500,následky srážky vlaku s osobou
114,Libochovice - Koštice n.Ohří,20110612141000,20110612161000,následky srážky vlaku s osobou
230,Golčův Jeníkov - Čáslav,20110613080200,20110613103000,následky srážky vlaku s osobou
343,Sudoměřice n.M. - Strážnice,20110614054800,20110614074800,následky srážky vlaku s osobou
323,Kunčice p.Ondř. - Frenštát p.Rad.,20110615162200,20110615193000,následky srážky vlaku s osobou
30,Turnov - Malá Skála,20110615193500,20110615223500,následky srážky vlaku s osobou
290,Šternberk - Újezd u Uničova,20110618160700,20110618170700,následky srážky vlaku s osobou
340,Brno hl.n. - Brno-Černovice,20110623170000,20110623190000,následky srážky vlaku s osobou
270,Olomouc hl.n. - Štěpánov,20110626162000,20110626200000,následky srážky vlaku s osobou
301,Olomouc hl.n. - Blatec,20110628045500,20110628080000,následky srážky vlaku s osobou
60,Sadská - Nymburk m.,20110629092000,20110629113000,následky srážky vlaku s osobou
321,Ostrava-Vítkovice - Ostrava-Svinov,20110629153500,20110629165000,následky srážky vlaku s osobou
300,Přerov - Věžky,20110629180000,20110629210000,následky srážky vlaku s osobou
300,Věžky - Přerov,20110629180500,20110629210000,následky srážky vlaku s osobou
235,Kutná Hora hl.n. - Kutná Hora m.,20110629223000,20000629130900,následky srážky vlaku s osobou
250,Modřice - Hrušovany u Brna,20110703043000,20110703073000,následky srážky vlaku s osobou
321,Ostrava-Svinov - Ostrava-Vítkovice,20110705050000,20110705080000,následky srážky vlaku s osobou
130,Bohosudov - Teplice v Č.,20110708170000,20110708190000,následky srážky vlaku s osobou
140,Karlovy Vary - Dalovice,20110709044600,20110709070000,následky srážky vlaku s osobou
199,N.Hrady - Č.Velenice,20110709075400,20110709123000,následky srážky vlaku s osobou
199,Č.Velenice - Č.Velenice,20110709170800,20110709210000,následky srážky vlaku s osobou
325,Příbor - Sedlnice kol. 1-6,20110709231500,20110710030000,následky srážky vlaku s osobou
330,Hodonín - Lužice,20110711103800,20110711131000,následky srážky vlaku s osobou
330,Hodonín - Lužice,20110711103000,20110711130000,následky srážky vlaku s osobou
250,Kuřim - Tišnov,20110712141500,20110712161500,následky srážky vlaku s osobou
310,Opava západ - Opava východ,20110713045600,20110713073000,následky srážky vlaku s osobou
11,Praha-Běchovice - Úvaly,20110714173000,20110714203200,následky srážky vlaku s osobou
170,Chodová Planá - Planá u Mar.Láz.,20110723185500,20110723220000,následky srážky vlaku s osobou
323,Frýdek-Místek - Frenštát p.Rad.,20110724193500,20110724220000,následky srážky vlaku s osobou
340,Brno hl.n. - Brno-Černovice,20110727045800,20110727085000,následky srážky vlaku s osobou
301,Vrbátky - Prostějov hl.n.,20110728200500,20110728230000,následky srážky vlaku s osobou
72,V.Žernoseky - Litoměřice m.,20110729132600,20110729160000,následky srážky vlaku s osobou
240,Třebíč - Studenec,20110729151500,20110729163500,následky srážky vlaku s osobou
20,Hr.Králové-Sl.Př. - Hradec Králové hl.n.,20110731222800,20110801012800,následky srážky vlaku s osobou
238,Hlinsko v Č. - Ždírec n.Doubr.,20110801172500,20110801210000,následky srážky vlaku s osobou
321,Ostrava-Svinov - Ostrava-Vítkovice,20110802084000,20110802111500,následky srážky vlaku s osobou
220,Roudná - Soběslav,20110808023000,20110808060000,následky srážky vlaku s osobou
244,Brno-H.Heršpice - Střelice,20110810044100,20110810070000,následky srážky vlaku s osobou
240,Brno-H.Heršpice - Střelice,20110810044100,20110810070000,následky srážky vlaku s osobou
244,Brno-H.Heršpice - Střelice,20110810044100,20110810083000,následky srážky vlaku s osobou
240,Brno-H.Heršpice - Střelice,20110810044100,20110810083000,následky srážky vlaku s osobou
270,Olomouc hl.n. - Grygov,20110812020100,20110812043000,následky srážky vlaku s osobou
240,Jihlava - Luka n.Jihl.,20110813160000,20110813183000,následky srážky vlaku s osobou
10,Kostěnice - Pardubice hl.n.,20110813235800,20110814030000,následky srážky vlaku s osobou
270,Jistebník - Polanka n.O.,20110814012200,20110814060000,následky srážky vlaku s osobou
86,Zákupy - Mimoň,20110817203600,20110817233600,následky srážky vlaku s osobou
72,Mělník - Liběchov,20110819134000,20110819155000,následky srážky vlaku s osobou
260,Rájec-Jestřebí - Blansko,20110821203500,20110821233000,následky srážky vlaku s osobou
260,Adamov - Blansko,20110821224000,20110822003000,následky srážky vlaku s osobou
331,Vizovice - Zlín stř.,20110825040000,20110825080000,následky srážky vlaku s osobou
221,Praha-Uhříněves - Praha-Hostivař,20110825102800,20110825133000,následky srážky vlaku s osobou
31,Hradec Králové hl.n. - Opatovice n.L.,20110828084500,20110828131400,následky srážky vlaku s osobou
160,Plzeň hl.n. - Třemošná u Plzně,20110829114500,20110829160000,následky srážky vlaku s osobou
201,Písek - Písek m.,20110829120800,20110829140800,následky srážky vlaku s osobou
244,Brno-H.Heršpice - Střelice,20110829175800,20110829185800,následky srážky vlaku s osobou
240,Brno-H.Heršpice - Střelice,20110829175800,20110829185800,následky srážky vlaku s osobou
212,Světlá n.Sáz. - Ledeč n.Sáz.,20110903091800,20110903101800,následky srážky vlaku s osobou
270,Studénka - Suchdol n.O.,20110905095400,20110905120000,následky srážky vlaku s osobou
320,Návsí (Nawsie) - Č.Těšín,20110905120000,20110905124500,následky srážky vlaku s osobou
273,Prostějov hl.n. - Prostějov hl.n.,20110905210000,20110905235900,následky srážky vlaku s osobou
271,Prostějov hl.n. - Prostějov hl.n.,20110905210000,20110905235900,následky srážky vlaku s osobou
281,Rožnov p.Rad. - Valašské Meziříčí,20110906212800,20110906235000,následky srážky vlaku s osobou
11,Úvaly - Praha-Běchovice,20110909234200,20110910020000,následky srážky vlaku s osobou
277,Suchdol n.O. - Fulnek,20110911130600,20110911150000,následky srážky vlaku s osobou
340,Ostrožská N.Ves - Kunovice zast.,20110911131500,20110911155700,následky srážky vlaku s osobou
301,Vrbátky - Prostějov hl.n.,20110911204500,20110911230000,následky srážky vlaku s osobou
20,Újezd u Choc. - Choceň,20110913072700,20110913103000,následky srážky vlaku s osobou
10,Zámrsk - Choceň,20110915203200,20110915235900,následky srážky vlaku s osobou
80,Doksy - Okna,20110917053800,20110917073800,následky srážky vlaku s osobou
330,Nedakonice - Moravský Písek,20110918034300,20110918053000,následky srážky vlaku s osobou
30,Liberec - Jeřmanice,20110925184000,20110925230000,následky srážky vlaku s osobou
194,Č.Budějovice - Boršov n.Vlt.,20110927214500,20110927235900,následky srážky vlaku s osobou
72,Sebuzín - V.Žernoseky,20111001200500,20111001220500,následky srážky vlaku s osobou
290,Újezd u Uničova - Šternberk,20111002060000,20111002080000,následky srážky vlaku s osobou
270,Olomouc hl.n. - Bohumín,20111002180500,20111002222000,následky srážky vlaku s osobou
