70	"Praha-Vysočany - Všetaty"	"15.02.2011 14:35"	"15.02.2011 16:30"	"následky srážky vlaku s osobou"	
126	"Bečov u Mostu - Břvany"	"16.02.2011 13:35"	"16.02.2011 16:00"	"následky srážky vlaku s osobou"	
171	"Praha-Smíchov - Praha hl.n."	"18.02.2011 09:15"	"18.02.2011 09:35"	"následky srážky vlaku s osobou"	
11	"Praha-Běchovice - Úvaly"	"19.02.2011 22:45"	"20.02.2011 01:45"	"následky srážky vlaku s osobou"	
30	"Železný Brod - Turnov"	"21.02.2011 07:00"	"21.02.2011 10:30"	"následky srážky vlaku s osobou"	
90	"Lovosice - Bohušovice n.Ohří"	"21.02.2011 20:00"	"21.02.2011 22:30"	"následky srážky vlaku s osobou"	
292	"Mikulovice - Jindřichov ve Sl."	"25.02.2011 16:06"	"25.02.2011 19:40"	"následky srážky vlaku s osobou"	
221	"Praha-Hostivař - Praha hl.n."	"01.03.2011 19:00"	"01.03.2011 23:00"	"následky srážky vlaku s osobou"	
200	"Jince - Lochovice"	"03.03.2011 19:20"	"03.03.2011 23:59"	"následky srážky vlaku s osobou"	
330	"Huštěnovice - St.Město u U.H."	"03.03.2011 19:55"	"03.03.2011 23:59"	"následky srážky vlaku s osobou"	
320	"Karviná hl.n. - Louky n.Olší"	"04.03.2011 17:00"	"04.03.2011 20:20"	"následky srážky vlaku s osobou"	
223	"Olbramovice - Sedlčany"	"05.03.2011 05:50"	"05.03.2011 08:50"	"následky srážky vlaku s osobou"	
72	"Všetaty - Mělník"	"09.03.2011 18:30"	"09.03.2011 20:30"	"následky srážky vlaku s osobou"	
321	"Albrechtice u Č.T. - Havířov"	"15.03.2011 15:56"	"15.03.2011 16:30"	"následky srážky vlaku s osobou"	
341	"Újezdec u Luh. - Bojkovice město"	"15.03.2011 22:45"	"15.03.2011 23:55"	"následky srážky vlaku s osobou"	
90	"Lovosice - Prackovice n.L."	"17.03.2011 12:05"	"17.03.2011 15:00"	"následky srážky vlaku s osobou"	
90	"Ústí n.L.hl.n.os.n. - Povrly"	"17.03.2011 20:00"	"17.03.2011 22:30"	"následky srážky vlaku s osobou"	
310	"Hlubočky - Hlubočky-Mar.Údolí"	"17.03.2011 20:40"	"17.03.2011 23:30"	"následky srážky vlaku s osobou"	
323	"Frenštát p.Rad. - Veřovice"	"18.03.2011 16:08"	"18.03.2011 18:09"	"následky srážky vlaku s osobou"	
140	"Chodov - Karlovy Vary"	"21.03.2011 22:10"	"21.03.2011 23:40"	"následky srážky vlaku s osobou"	
250	"Tišnov - Kuřim"	"23.03.2011 08:32"	"23.03.2011 10:40"	"následky srážky vlaku s osobou"	
91	"Praha-Bubeneč - Roztoky u Prahy"	"25.03.2011 12:05"	"25.03.2011 14:00"	"následky srážky vlaku s osobou"	
290	"Šumperk - Libina"	"25.03.2011 18:45"	"25.03.2011 23:00"	"následky srážky vlaku s osobou"	
130	"Chabařovice - Ústí n.L.západ"	"25.03.2011 18:52"	"25.03.2011 22:00"	"následky srážky vlaku s osobou"	
10	"Kostěnice - Pardubice hl.n."	"26.03.2011 02:18"	"26.03.2011 05:00"	"následky srážky vlaku s osobou"	
"011, 010, 260"	"Praha hl.n. - Kolín"	"26.03.2011 10:30"	"26.03.2011 16:00"	"následky srážky vlaku s osobou"	
"260, 250, 011, 010"	"Č.Třebová - Brno hl.n."	"28.03.2011 09:35"	"28.03.2011 12:20"	"následky srážky vlaku s osobou"	
210	"Praha-Zbraslav - Pha-Modřany zast."	"29.03.2011 22:23"	"30.03.2011 01:30"	"následky srážky vlaku s osobou"	
200	"Čimelice - Čimelice"	"31.03.2011 10:11"	"31.03.2011 14:00"	"následky srážky vlaku s osobou"	
292	"Postřelmov - Postřelmov"	"31.03.2011 09:45"	"31.03.2011 11:45"	"následky srážky vlaku s osobou"	
"030, 086, 036"	"Liberec - Liberec"	"01.04.2011 05:15"	"01.04.2011 07:30"	"následky srážky vlaku s osobou"	
238	"Pardubice-Ros.n.L. - Medlešice"	"02.04.2011 05:52"	"02.04.2011 09:00"	"následky srážky vlaku s osobou"	
220	"Č.Budějovice - Veselí n.Luž."	"02.04.2011 06:30"	"02.04.2011 09:30"	"následky srážky vlaku s osobou"	
184	"Poběžovice - Hostouň"	"02.04.2011 07:14"	"02.04.2011 11:14"	"následky srážky vlaku s osobou"	
330	"Otrokovice - Tlumačov"	"02.04.2011 16:00"	"02.04.2011 19:30"	"následky srážky vlaku s osobou"	
93	"Brandýsek - Kladno-Dubí"	"02.04.2011 21:00"	"02.04.2011 23:59"	"následky srážky vlaku s osobou"	
11	"Praha-Libeň - Praha-Běchovice"	"05.04.2011 15:48"	"05.04.2011 18:30"	"následky srážky vlaku s osobou"	
323	"Baška - Frýdlant n.Ostr."	"07.04.2011 05:45"	"07.04.2011 09:00"	"následky srážky vlaku s osobou"	
190	"Nepomuk - Ždírec u Plzně"	"10.04.2011 07:50"	"10.04.2011 10:30"	"následky srážky vlaku s osobou"	
301	"Vrbátky - Prostějov hl.n."	"10.04.2011 11:30"	"10.04.2011 14:00"	"následky srážky vlaku s osobou"	
260	"Svitavy - Březová n.Svit."	"10.04.2011 17:45"	"10.04.2011 20:30"	"následky srážky vlaku s osobou"	
